model,rep,n_train_samples,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,train_mse,test_mse,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,entropy,rows_mean_L1,rows_mean_L2,cols_mean_L1,cols_mean_L2,n_parameters,depth,width
network,0,500,1000,1000,0.01,128,0,0.1554610294436016,0.213960220440578,67548.00000000001,39594.745787793625,439,25.69046515733026,255,439,631039.362688464,135.096,8.226450024159874,67.548,3.228300791438121,5002,1,1000
network,1,500,100,1000,0.01,128,0,0.1729098757975554,0.20901222230408448,18385.999999999978,11714.97981218916,259,43.382023926967726,57,259,153356.695004514,36.772,4.691772372995093,183.86,8.339160629224024,502,1,100
network,1,500,1000,1000,0.01,128,0,0.1543551202235787,0.21309990713408425,57705.99999999999,32630.53704737328,423,26.49528259898354,217,423,526540.1888191068,115.412,7.333053934071398,57.705999999999996,2.779311065713948,5002,1,1000
network,2,500,100,1000,0.01,128,0,0.17580478800015203,0.20611310286999973,22229.999999999993,15117.398188841873,275,39.7994974842648,69,275,192555.13379694766,44.459999999999994,5.3885129674150365,222.3,9.969914743868175,502,1,100
network,2,500,1000,1000,0.01,128,0,0.1589425321540196,0.21333905729430344,49507.000000000015,26951.766157341164,423,26.870057685088806,205,423,443774.92148871155,99.01400000000001,6.833155347275518,49.507,2.2782956348990355,5002,1,1000
network,3,500,100,1000,0.01,128,0,0.1701166701512712,0.20277352317122446,19367.0,12858.55112366864,240,45.78209256903839,56,240,164366.8947228024,38.734,4.943652495877921,193.67000000000002,8.728682603921396,502,1,100
network,3,500,1000,1000,0.01,128,0,0.15887779410705105,0.2141162927300681,75553.99999999994,47720.040129907655,451,25.099800796022265,264,451,724355.6706191518,151.108,9.123622526167992,75.554,3.574912306616765,5002,1,1000
network,4,500,100,1000,0.01,128,0,0.1715277054430972,0.20752947618065246,19886.00000000001,13111.358587118279,212,49.658836071740545,52,212,169419.27020351336,39.772000000000006,4.996142511978617,198.86,8.915996859577733,502,1,100
network,4,500,1000,1000,0.01,128,0,0.15292552211242882,0.21155440978811085,61457.99999999999,35167.759809234354,398,28.460498941515414,205,398,569725.4222117702,122.916,7.5359203817450195,61.458,2.9728155004978025,5002,1,1000
network,0,500,10000,10000,0.01,128,0,0.09380297050245587,0.2832718530806561,46811.99999999998,18634.36003730742,393,29.29163703175362,186,393,386460.4048786738,93.624,4.698346943340817,4.6812000000000005,0.3051091280181568,50002,1,10000
network,1,500,10000,10000,0.01,128,0,0.09675305212648115,0.2797308752691697,44164.99999999999,17462.476428044218,391,30.495901363953813,168,391,360579.2287848468,88.33000000000001,4.589257456277649,4.4165,0.28866137601002323,50002,1,10000
network,2,500,10000,10000,0.01,128,0,0.10183534004672573,0.2774064739472005,49911.999999999985,19824.43825181434,416,28.39013913315678,184,416,414797.5339079117,99.824,4.781075192882873,4.9912,0.3824369490517359,50002,1,10000
network,3,500,10000,10000,0.01,128,0,0.10072252270483895,0.2916673602029131,47782.99999999999,19806.137407379563,396,30.430248109405877,192,396,396372.4715996863,95.566,4.507338460777047,4.7783,0.41625378076361064,50002,1,10000
network,4,500,10000,10000,0.01,128,0,0.09387394947846942,0.2721989142136613,41248.00000000001,16554.44049190428,392,29.664793948382652,179,392,334825.8497720752,82.49600000000001,4.324837106759051,4.1248000000000005,0.2841545002283089,50002,1,10000
